rank,node,pagerank_score
1,0,0.013257656715263192
2,8,0.00948372414674175
3,5,0.008920034004288788
4,7,0.00785447807102093
5,10,0.007373011710927702
6,6,0.006653099210937222
7,16,0.0066316058023598015
8,18,0.006263204228487273
9,12,0.006016918050990331
10,21,0.005867140905094315
11,3,0.0049061373815579
12,37,0.0044049282502075715
13,17,0.00417279978096039
14,14,0.004152583365200834
15,19,0.004143209753501378
16,68,0.004002585510874961
17,1,0.003998085936294927
18,23,0.003978621335560084
19,20,0.003937572607691232
20,24,0.0037783766464166806
